Dec 23 07:11:13 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:11:13 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:11:13 localhost app-9: [ClamClient] <TCP105218289794250> WARN  <UTThread-11504>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:11:13 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:11:13 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:11:13 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:11:13 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:22:14 localhost app-9: [ClamClient] <TCP105218289798619> WARN  <UTThread-11505>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:22:14 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:22:14 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:22:14 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:22:14 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:22:14 localhost app-9: [ClamClient] <TCP105218289798621> WARN  <UTThread-11506>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:22:14 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:22:14 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:22:14 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:22:14 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:22:14 localhost app-9: [ClamClient] <TCP105218289798624> WARN  <UTThread-11507>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:22:14 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:22:14 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:22:14 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:22:14 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:22:14 localhost app-9: [ClamClient] <TCP105218289798627> WARN  <UTThread-11508>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:22:14 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:22:14 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:22:14 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
