Dec 11 12:56:01 localhost app-34:       com.untangle.uvm.AppSessionImpl.clientEvent(AppSessionImpl.java:929)
Dec 11 12:56:01 localhost app-34:       com.untangle.uvm.AppSessionImpl$SessionSocketQueueListener.event(AppSessionImpl.java:1663)
Dec 11 12:56:01 localhost app-34:       com.untangle.jvector.IncomingSocketQueue.send_event(IncomingSocketQueue.java:133)
Dec 11 12:56:01 localhost app-34:       com.untangle.jvector.Vector.vector(Native Method)
Dec 11 12:56:01 localhost app-34:       com.untangle.jvector.Vector.vector(Vector.java:177)
Dec 11 12:56:01 localhost app-34:       com.untangle.uvm.NetcapHook.run(NetcapHook.java:426)
Dec 11 12:56:01 localhost app-34:       com.untangle.uvm.NetcapTCPHook.event(NetcapTCPHook.java:61)
Dec 11 12:56:01 localhost app-34: [WebrootQuery] <TCP105218286310979> WARN  Unable to decode answer
Dec 11 12:56:01 localhost app-34:       java.lang.NullPointerException
Dec 11 13:21:54 localhost app-34: [WebrootQuery] <TCP105218286325533> WARN  apiDaemon: answer contains error: [{"url":"us-vid-events.taboola.com/st?cijs=convusmp&ttype=45&cisd=convusmp&cipid=66339035&crid=5521215&dast=V7F2oCFgO9lXwq0irFNAS9lXwq0irFNAUAAAAGBuIHGkaibCjL0XK02qxWy-FosZrNVqvdaDYcgoaRKBvKcrQcrTar1XK4WYx2g9FgNlwulpAwi8ViNJmthlPAebrLUPm7_Qa1QMTyfE1_w0Et0AwGw8tqMFALNIW_3fO3vEwGWdPk8hvUAlnL8rT-7W4IJETT6XDd63W_313tuds1frdfZXdrHH65y_f5axx2h8nhl_ttD7fm4zc9HW7d3-2wu3UPy93z1puOLsvnrbCZXpa3zGE2O-0-t-zpMT3dbtHfrbebnXaXW_A6HJ5vzcfh9issbwmFMTF0LLv_3uM0uZcuu-lwBwAAAIAHAKqfH4gfQACACAAAAAAJAAAAAIqAin8LgQsAAAAADAAEqCsNABOOBHJYTm-_63T0BwCAwBcIAIAABglAwWd8CUDJYvQJAAAAAAAAAADL____f8wAPdC2DICIRnMPwIMPwAMRAWQRIwAAAAAM7wWfI0mdUFlUAQAQpFsBXAEABNhJSR8jhAEAABSMLdDD4vebHXaN3-0yAAAAAAAAAACz_7N_NCEZ4cc0Yb8odrVfQACAtV9AAAA2dQMAeBOACzqCVgwGqwuI2QEAAADc_f___-uBmGez8jg8ntlkOdytHM7ZcjBxeGwT02LkW26ME-_h-LJm4NUVvvThPN1lqPzdfoNaIGJ5vqa_4aAWaAaD4WU1GKgFmsLf7vlbXiaDrGly-Q1qgaxleVr_dvtNyGw4Wqw2k81kN9nsRovRarE_gVgMcCIGy-VkspjsVqPVaDPcjWaDBQrEYIITMhxtJqvRbrWbLIeT0Wi2mWyQolWr2WgzGK5mk9lutxoOhsvRCClas5hNJovZaLnbDJaT0WA4GQ4RRozL3Ww4mLhly5HJLVrOPGuFyzdbK1YT58hjmK1Ww-Fa9PqYTrvJwjAZTtGATTd_7cFFwYC_vQgu0onac3eLnJ7D2eF8y16Wp_Vvd2scdotYojlZpBPZZV_zbFYeh8czmyyHu5XDOVsOJg6PbWJajHzLjXHirxiXu9lwMHHLliOTW7ScedYKl2-2VqwmzpHHMFuthsO16PUxnXaThWEy3Ddmg91usNssNvvGbLDbDXabxWbfoTN8V5-zUbRW-zw-bdJ8TcxmpoPCZbB5V6rTSluQHJSVccip81qU3Z1R-fiNvAaF51xQ-X7D83F72D2Mj9vPYFTEEsHpIp2IXsbTRSyRPC3SiWIyc3gcrsVks5htTJbdarXbzZbD3cjiXE08rtVELFGaLtKJXmV3axx-ucv3-WscdofJ4Zf7bQ-35uM3PR1u3d_tsLt1D8vd89abji7L562wmV6Wt8xhNjvtPrfs6TE93W7R3623m512l1vwOhyeb83H4fYrLG-JxTExfCy7i_qPDDKaSyaTuWIxl01WCQAAAAAAAABgCVPmTQAAAABOg5kNZ5PVcgEmFgt0f759jziFtyaKGz--aM_dLXJ6DmeH8y17WZ7Wv92tcditDACBoca82TNBrNVqWQMAAAxgAwAABHDr5i3gnJID!&cmcv=&pix=31589837&cb=1607707316185&uv=2853&tms=1607707316185&abt=dpr6_vB!expl_vC!expn_vC!heavyc_vA!ltfc_vA!moatViewabilityNew_vB!spa2_vB!t45!t45!ufm_vA!vdzbf_vA&ft=1&su=0&unm=WIDGET_ITEM&debug=pn:!sqg:!torgn:!ts:1607707316185&mntl=1","ERROR":"err_arg"}]#015#012
Dec 11 16:00:32 localhost app-34: [WebrootQuery] <TCP105218286400813> WARN  problem with query ({"url/getinfo":{"urls":["16123.live.streamtheworld.com/CIOOFM_ADP/HLS/23048/0/393.aac"],"a1cat":1, "reputation":1}}#015#012), attemping retry
Dec 11 19:50:15 localhost app-34: [WebrootQuery] <TCP105218286452194> WARN  problem with query ({"url/getinfo":{"urls":["m-7485s3.ll.hls.row.aiv-cdn.net/iad_2/2700/ad10/1b48/4af4-b76f-8b2ba0763ef9/a19dcc45-0a47-4417-bd40-1eea30f677d3_a3.aac/range/31180434-31212831?amznDtid=AK6OCP5ZLUJI1"],"a1cat":1, "reputation":1}}#015#012), attemping retry
Dec 11 19:59:21 localhost app-34: [WebrootQuery] <TCP105218286452193> WARN  problem with query ({"url/getinfo":{"urls":["m-7485s3.ll.hls.row.aiv-cdn.net/iad_2/2700/ad10/1b48/4af4-b76f-8b2ba0763ef9/a19dcc45-0a47-4417-bd40-1eea30f677d3_a3.aac/range/40098022-40130725?amznDtid=AK6OCP5ZLUJI1"],"a1cat":1, "reputation":1}}#015#012), attemping retry
